Job_Name,Company,City,Job_type,Employees,Followers,Applicants,Industry,Level,Involvment,Job_Desception,skills
Process Developer- Collections-HMS031047,Genpact,Gurugram,On-site,10001,"1,30,023",26,Information Technology & Services ,Entry level,Full-time,,Communication Customer Requirements Customer Service High Energy Level 
Process Associate - Banking and Capital Markets (BCM)-BFS026016,Genpact,Jaipur,On-site,10001,"1,30,023",135,Information Technology & Services ,Entry level,Full-time,,Business Process Outsourcing (BPO) Chat Communication Critical Thinking 
KYC Client Data Analyst,JPMorgan Chase & Co.,Bengaluru,Hybrid,10001,"2,71,657",200,Financial Services ,Entry level,Full-time,,Anti-Money Laundering Communication Due Diligence KYC Verification LDD 
Zonal Head - Collections,"Groww, India",Bengaluru,On-site,1000,"1,234",166,Financial Services ,Mid-Senior level,Full-time,,Collections Management Debt Collection Non-performing Assets (NPA) 
"Snapshot - India Junior Analyst, Process || Gurgaon",WM,Gurugram,On-site,10001,"22,908",45,Environmental Services ,Entry level,Full-time,,Accounting Software Common Sense Communication Concrete Database Management System (DBMS) Databases Finance Problem Solving Team Management Written Communication 
Assistant Manager - FOSA Analyst,IndiGo (InterGlobe Aviation Ltd),Gurgaon,On-site,10001,"18,874",87,Airlines/Aviation ,Mid-Senior level,Full-time,"Downloading, Extracting and Cleansing of MS form data of FOSA flights Database', 'Provision of data for validation', 'Coordination for validated data for Analysis', 'Acquiring data from FOSA database and maintain data systems', 'Developing and implementing databases and data collection systems', '', '', '', '', '', '', '', '', '', ''",Analytics Business Analytics Communication Data Analysis Data Analytics 
Billing/Collections Supervisor,UPS,Pune,On-site,10001,"1,43,796",64,Transportation/Trucking/Railroad ,Mid-Senior level,Full-time,"Explore your next opportunity at a Fortune Global 500 organization. Envision innovative possibilities, experience our rewarding culture, and work with talented teams that help you become better every day. We know what it takes to lead UPS into tomorrow—people with a unique combination of skill + passion. If you have the qualities and drive to lead yourself or teams, there are roles ready to cultivate your skills and take you to the next level.The Billing/Collections Supervisor is responsible for Billing/Collection activities for Small Package (SP), SP Brokerage, Logistics, Freight, Forwarding, and all other Shared Services Business Units. Responsibilities include, but are not limited to; monitoring Billing/Collection quality and productivity in all aspects of the function. He/She monitors Billing/Collection activities for all customers segments, and helps provide resolution in complex disputes which includes issuing billing adjustments. The Billing/Collections Supervisor is responsible for recommending, developing and implementing process improvements within their respective function. This position monitors SOX and Internal Audit processes. The Billing/Collections Supervisor will interact with both internal and external customers as well as vendors and outside companies that provide services for UPS and our customers. Geographic scope of this position is the U.S and Canada.PermanentUPS is committed to providing a workplace free of discrimination, harassment, and retaliation.'",A/R Collections Accounts Receivable (AR) Cash Collection Contact Centers Debt Collection Finance Financial Regulation Negotiation Team Management 
Assistant Manager - OTC-CPG038815,Genpact,Noida,On-site,10001,"1,30,023",80,Information Technology & Services ,Associate,Full-time,"Collection on past due invoices & invalid deductions on allocated portfolios via Email, phone calls etc.', 'Respond to email /phone queries related to disputed invoice', 'Research and analyze the disputes/deductions in ERP', 'Follow-up with various departments to get supporting documents/ info for dispute/deductions resolution', 'Find opportunities and recommend solutions for process and automation improvements', 'Daily reporting of individual portfolios to track and supervise the past dues', 'Implement collections strategy to reduce the past due Research and resolve issues in a manner to expedite all cases in order to avoid any adverse customer impact', 'Work as a phenomenal teammate to process any Adhoc request in a timely manner.', 'Deliver quality customer service by researching and responding to all internal & external partners’ inquiries quickly, optimal and expertly.', 'Call out problems to senior staff members and or management as appropriate.', 'Any Graduate', 'Strong Communication Skills (verbal and written)', 'High Energy level', 'Good customer handling skills'",Communication Customer Service Daily Reports High Energy Level 
Process Associate-BFS026299,Genpact,Jaipur,On-site,10001,"1,30,023",72,Information Technology & Services ,Entry level,Full-time,,Business Process Outsourcing (BPO) Cash Application Communication Customer Service Daily Reports Dispute Resolution Infor Enterprise Resource Planning (ERP) Interpersonal Skills Resolving Issues TeamMate 
"Snapshot - India Analyst, Process|| Gurgaon",WM,Gurugram,On-site,10001,"22,908",32,Environmental Services ,Mid-Senior level,Full-time,,Accounting Software Common Sense Communication Concrete Database Management System (DBMS) Databases Open Accounts Problem Solving Team Management Written Communication 
Management Trainee - Invoice to cash-HMS024498,Genpact,Hyderabad,On-site,10001,"1,30,023",200,Information Technology & Services ,Associate,Full-time,,Accounts Receivable (AR) Casualty Insurance Communication Finance Operations Management Production Planning Property and Casualty Insurance Service-Level Agreements (SLA) Written Communication 
Process Associate - Banking and Capital Markets (BCM)-BFS026572,Genpact,Jaipur,On-site,10001,"1,30,023",66,Information Technology & Services ,Entry level,Full-time,,Business Process Outsourcing (BPO) Chat Communication Critical Thinking 
Ecommerce Catalogue,House of Anita Dongre Limited,Navi Mumbai,On-site,5000,"1,306",200,Apparel & Fashion ,Mid-Senior level,Full-time,,Catalog Management Cataloging Catalogue E-Commerce Line Sheets 
Process Associate - Invoice To Cash(UK Retail Fiduciary)-INS015513,Genpact,Noida,On-site,10001,"1,30,023",200,Information Technology & Services ,Entry level,Full-time,,Business Process Outsourcing (BPO) Cash Collection Collections Management Communication Daily Reports Dispute Resolution Infor Enterprise Resource Planning (ERP) Interpersonal Skills OTC Process Excellence 
"Management Trainee, OTC Collections",Genpact,Hyderabad,On-site,10001,"1,30,023",141,Information Technology & Services ,Mid-Senior level,Full-time,,Account Reconciliation Cash Collection Customer Service Enterprise Resource Planning (ERP) OTC Order to Cash 
Know your customer Client Data Analyst,JPMorgan Chase & Co.,Hyderabad,Hybrid,10001,"2,71,657",138,Financial Services ,Entry level,Full-time,,Anti-Money Laundering CIP Due Diligence LDD Medical Device Directive Regulatory Standards 
Market Research Trainee,PW (PhysicsWallah),Noida,On-site,5000,"4,436",200,E-learning ,Entry level,Full-time,"Roles and responsibilities-Collect and study information about customers, sales trends, products, and services to direct our future business and marketing plansConduct primary and secondary research on consumer persona, in different edtech categories, NPS, competitors analysis.'",Analytical Skills Business Insights Communication Data Collection Focus Groups Market Research Marketing Strategy Microsoft Excel Research Secondary Research 
Junior Research Analyst,S&P Global,Ahmedabad,On-site,10001,"31,726",200,Financial Services ,Entry level,Full-time,,Analytical Skills Communication Communication Training Databases Editing Editorial English High Proficiency Oral Communication Proofreading 
Process Associate - OTC Cash apps-HMS030310,Genpact,Jaipur,On-site,10001,"1,30,023",25,Information Technology & Services ,Entry level,Full-time,,Business Process Outsourcing (BPO) Cash Application Communication Customer Service Daily Reports Dispute Resolution Interpersonal Skills Management Information Systems (MIS) Resolving Issues TeamMate 
Process Associate - Voice-BFS026557,Genpact,Jaipur,On-site,10001,"1,30,023",30,Information Technology & Services ,Entry level,Full-time,,Business Process Outsourcing (BPO) Communication Deposits Dispute Resolution Interpersonal Communication Management Information Systems (MIS) Mortgages Problem Solving Retail Banking Settlement 
Sr.FinOps Analyst-AR,Amazon,Gurugram,On-site,10001,"8,21,695",200,Computer Software ,Mid-Senior level,Full-time,"Understanding of Accounts Receivables process', 'Follow-up with customers via emails and phone calls to ensure timely collection of payments for assigned portfolio', 'Maintain detailed post correspondence update on accounts receivable records to ensure aging is up to date, credits and collections are applied, uncollectible amounts are accounted for, and miscellaneous differences are cleared', 'Collaborate with various stakeholders (Billing, Finance, Legal, Tax, Customer Service) to resolve customer disputes and queries, to establish and maintain good client relationships, both internally and externally', 'Monitor high-risk accounts and ensure timely escalation of challenges to management', 'Continually look at ways to improve the customer experience', 'Assist in streamlining and improving the accounts receivable process by identifying areas of improvement', 'Meet the monthly productivity goals', 'Reconcile complex accounts and have excellent attention to detail', 'Degree in Finance/Accounting/Business Studies or other related areas', '5 to 7 years of experience in Accounts Receivables or other customer facing department experience', 'Ability to provide exceptional customer experience', 'Strong communication skills, both written and verbal', 'Good interpersonal skills and team player', 'Ability to take initiatives, meet tight deadlines and prioritize workload', 'Proficient in Microsoft Excel and Word', 'Post-graduation or a Master’s Degree Accounting/Finance or a related field'",Account Reconciliation Accounts Receivable (AR) Cash Collection Communication Customer Experience Customer Experience Management Finance Interpersonal Communication Interpersonal Skills Prioritize Workload 
Operations Executive - Contractual (Cleartrip),Flipkart,Bengaluru,On-site,10001,"44,862",200,Computer Software ,Entry level,Full-time,"Job Description\uf0b7 Preparing of team’s finance raw data files\uf0b7 Maintaining and leading work related to payment collection details\uf0b7 Uploading the data in various websites developed for internal consumption\uf0b7 Interacting with various internal team, partners, vendors for data\uf0b7 Any other Data requirement of TeamCandidate Profile\uf0b7 At least 1 years in vendor management or MIS management\uf0b7 Demonstrated expertise in managing report updates for management reviews\uf0b7 Excellent Excel skill\uf0b7 Good written and verbal communication skill\uf0b7 Possesses a keen eye for details\uf0b7 Passionate about quality\uf0b7 Ability to work under pressure\uf0b7 Strong team playerIndustryCorporate Travel, Travel agency, Online Travel Agency, Airline'",Communication Management Information Systems (MIS) Oral Communication Vendor Management 
"SBS - India Analyst, Process || Gurgaon",WM,Gurgaon,On-site,10001,"22,908",16,Environmental Services ,Mid-Senior level,Full-time,"Reconciles & Audits exception-based invoices with the highest level of accuracy & Speed', 'Ensures that vendors are paid in accordance with open accounts payable.', 'Pays invoices correctly or passes to appropriate personnel for dispute resolution.', 'Assists in keeping vendor accounts updated and accurate.', 'Returns or resolves quality control issues in problem queues.', 'Meets or exceeds individual productivity requirements.', 'Resolves problem invoices with the highest degree of urgency.', 'Follows standard procedures and introduces all new procedures into daily routine. .', 'Maintains professional and productive relations and communications with internal customers.', 'The requirements listed below are representative of the qualifications necessary to perform the job.', 'Education: B.Com, M.com or equivalent degree(accredited), or in lieu of degree, High School Diploma or GED (accredited), and four (4) years of relevant work experience', 'Experience: Two (2) years of experience in the field of Audit, Accounts & Finance (in addition to education requirements)', 'Ability to read and interpret documents such as departmental reporting, e-mail & vendor correspondence.', 'Ability to calculate figures and amounts such as discounts, interest, proportions and percentages.', 'Ability to apply common sense understanding to carry out instructions furnished in written, oral, or diagram form. Ability to deal with problems involving several concrete variables in standardized situations.', 'To perform this job successfully, an individual should have knowledge of accounting software, database software, M.S. Outlook, M.S. Word, MS Excel and M.S. PowerPoint.', 'Problem solving skills, team handling ability, verbal and written communication should be good.', 'The pace should be considered fast. To meet our vendors expectations we work in a very urgent environment.', 'Required to use motor coordination with finger dexterity (such as keyboarding, machine operation, etc.) part of the work day;', 'Required to exert physical effort in handling objects less than 30 pounds occasionally;', 'Required to be exposed to physical occupational risks (such as cuts, burns, exposure to toxic chemicals, etc.) rarely;', 'Required to be exposed to physical environment which involves dirt, odors, noise, weather extremes or similar elements rarely;', 'Normal setting for this job is an office setting.'",Accounting Software Common Sense Communication Concrete Database Management System (DBMS) Databases Open Accounts Problem Solving Team Management Written Communication 
Process Associate - Invoice to Cash-SER004200,Genpact,Hyderabad,Hybrid,10001,"1,30,023",200,Information Technology & Services ,Entry level,Full-time,,Accounts Receivable (AR) Business Process Outsourcing (BPO) Cash Application Commerce Communication Dispute Resolution Interpersonal Communication Interpersonal Skills Order to Cash Process Excellence 
Project Manager – Ayushman Bharat,Abbott,Gurgaon,On-site,10001,"1,17,183",200,Hospital & Health Care ,Associate,Full-time,"Develop strategy', 'Proactive approach to identify idea and project involving key internal and external stakeholders', 'Market and competitor research to identify opportunity areas (differentiated approach in brand building, life cycle management, packaging, process augmentation, sales force effectiveness)', '', '', '', '', '', '', '', '', ''",Business Case Preparation Communication Debottlenecking Portfolio Optimization Project Plans Project Tracking Quantitative Analytics Quantitative Finance Stakeholder Management 
Collections Specialist,Genpact,Gurugram,On-site,10001,"1,30,023",131,Information Technology & Services ,Entry level,Full-time,"Genpact is inviting applications for the role of Management Trainee - B2B Collections, OTC Collections*Education - Any graduate/ post graduate - only pass out*Experience - Minimum 3 years relevant experience into B2B Collections or OTC collections*Skills - B2B Collections, B2C Collections, Cash Apps, OTC Collections, Order to Cash'",Accounts Receivable (AR) Aging Reports Cash Application Cash Collection Credit Management Customer Service Debt Collection Dispute Resolution OTC Order to Cash 
Management Trainee-BFS026758,Genpact,Jaipur,On-site,10001,"1,30,023",33,Information Technology & Services ,Associate,Full-time,,Analytical Skills Business Reporting Cash Application Cash Collection Collection Strategy Communication Negotiation 
Senior Manager - Sales Professional,Siemens,Gurgaon,On-site,10001,"2,05,902",200,Industrial Automation ,Mid-Senior level,Full-time,,MarketingCommunication Customer Interaction Customer Satisfaction Direct Sales Presentations Product Sales Sales Sales & Marketing Sales Processes 
Data Analyst,Vedantu,Bengaluru,On-site,10000,"4,417",200,E-learning ,Entry level,Full-time,,Analytical Skills Computer Science Dashboard Data Analysis Data Collection Data Modeling Machine Learning Presentation Skills Problem Solving SQL 
HR Geo Services Associate - Chennai,UPS,Chennai,On-site,10001,"1,43,796",187,Transportation/Trucking/Railroad ,Entry level,Full-time,,Human Resources (HR)Conflict Resolution Contract Labor HR Management HR Operations HR Policies Onboarding Payroll Administration Personnel Files Professional Placement 
Process Associate - Purchase to Pay,Siemens,Bengaluru,On-site,10001,"2,05,902",123,Industrial Automation ,Associate,Full-time,,Business Process Outsourcing (BPO) Communication Customer Satisfaction Infor Enterprise Resource Planning (ERP) Notification Process Excellence Purchase To Pay Spoken English Statutory Accounting Principles (SAP) 
KYC Client Data Analyst,JPMorgan Chase & Co.,Bengaluru,Hybrid,0,"2,71,657",200,Financial Services ,Entry level,Full-time,,Anti-Money Laundering Communication KYC Verification LDD 
Process Associate - Invoice To Cash-INS018072,Genpact,Noida,On-site,10001,"1,30,023",23,Information Technology & Services ,Entry level,Full-time,,Accounts Receivable (AR) Business Process Outsourcing (BPO) Cash Application Commerce Communication Dispute Resolution English Management Information Systems (MIS) Order to Cash Process Excellence 
"Specialist, Collections",XPO,Pune,On-site,10001,"36,072",200,Transportation/Trucking/Railroad ,Entry level,Full-time,"""Logistics done differently.Are you ready to take your career to the next level with a rapidly growing, dynamic global company? Join XPO Logistics, a company named among the most admired in the world by Fortune Magazine.We are looking for a Collections Representative who would be responsible for leading all collection and dispute resolution activities in accounts receivable and related settlement processes. We are only looking for candidates having logistics/transportation or supply chain experience. In this role, you will be responsible for all the activities related to Cash & Collection domain. On our team, you’ll have the support to excel at work and the resources to build a career you can be proud of.We provide free transport facilityLocation: PuneTiming: 6:30PM – 3:30AM• The Collections Specialist/Collector will engage regularly, via telephone and other forms of communication with customers to ensure the timely payment of invoices and assist with the resolution of any disputes or queries raised by customers.• Contact customers with overdue accounts and attempt to either collect the overdue amount or negotiate a payment plan to collect it in installments.• Provide correspondence and supporting documentation in a fast paced, goal-oriented collections department in a timely basis.• Make outbound calls on outstanding accounts. Deliver exceptional customer experience in all interactions through inbound and outbound calls to meet goals.• Follow-up with various departments to get supporting documents/ info for dispute/deductions resolution.• Resolve customer issues and complaints concerning billing disputes.• Perform uploads to customer websites.• Submit regular reports on the status of unpaid accounts and any repayment progress.At a minimum, you’ll need:• Ability to work flexible hours (6:30PM to 3:30AM IST.)• Bachelor's degree in Accounting or Finance or Commerce• 2 to 4 years related experience within the logistics or transportation domain (compulsory) within Order to Cash (OTC) primarily in Collections• Strong communication skills - both verbal and written. Writes clearly and informatively. Edits work for spelling and grammar.• Strong fluency/ expert-level user of Windows applications. Demonstrates ability to create complex formulas in MS Excel; create queries in company software applications.• Thorough knowledge of internal company software applications applicable to position/ business unit such as and not limited to HRC, Oracle, Getpaid, JIRA etc.• Able to calculate figures and amounts such as discounts, interest, commissions, proportions, and percentagesXPO is a leading provider of world-class solutions to the most successful companies in the world. We help our customers manage their goods most efficiently using our technology and services. Our greatest strength is our global team – energetic, innovative people of all experience levels and talents who make XPO a great place to work.The above statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties, and skills required of personnel so classified. All employees may be required to perform duties outside of their normal responsibilities from time to time, as needed.Review XPO's candidate privacy statement here.""",Cash Collection Commerce Communication Customer Experience Dispute Resolution Grammar Inbound Marketing OTC Order to Cash Spelling 
Sr. Executive Service,Siemens,Kolkata,On-site,10001,"2,05,902",135,Industrial Automation ,Mid-Senior level,Full-time,,Lead GenerationAMC Cost Management Customer Satisfaction Digital Business Vendor Management 
Process Developer - OTC-LIF011025,Genpact,Noida,On-site,10001,"1,30,023",48,Information Technology & Services ,Entry level,Full-time,,Cash Application Customer Service Daily Reports Enterprise Resource Planning (ERP) Resolving Issues 
Document Controller,Emerson,Pune,On-site,10001,"41,012",200,Mechanical Or Industrial Engineering ,Director,Full-time,"Job DescriptionDocumentation collection and distribution for Tier 2 and Tier 3 projects from factory and customer Vice VersaPrepare cover pages for documents & manage the transmittal of documents between Emerson and our customers on projectsEnsure documents are submitted and received on time, as well as correctly stored in Emerson’s document repository/Equivalent FoldersProviding regular Project Document Status Reports to customer & PMsMRB preparation and management with team until final payment receiptOn time documentation creation and submittal in line with agreed (Emerson Document Delivery Index) EDDI.Effective communication to the customer and the PMO organization on documentation status and inquiries.Contact the customer and internal resources to expedite overdue documents needing to be prepared or approvedUpload documents to our customers’ documentation website portals and/or send via emailCommunicate effectively with all stakeholders for Tier 2 and Tier 3 projects including customers, project management team, and documentation teamsMaintain detailed status of Documents in EDDI/VDRL.Degree in a business related field or equivalent experienceAwareness about PLM Software & common Customer Portals like L&T MOSS, RIL Portals, EIL portal etc.Proficient with MS Office Tools (i.e. Word, Excel, PowerPoint, Outlook, Access)Good Communication SkillsStrong organizational and detail orientation skillsAbility to comprehend technical details/technical literacyFluent in English and local language.'",Communication Document Management Documentation English Library Instruction Literacy Management Software Records Management Technical Proficiency Tier 2 
"Snapshot - India Junior Analyst, Process || Gurgaon",WM,Gurugram,On-site,10001,"22,908",51,Environmental Services ,Entry level,Full-time,,Accounting Software Common Sense Communication Concrete Database Management System (DBMS) Databases Finance Problem Solving Team Management Written Communication 
Key Account Executive - eCommerce,Unilever,Mumbai,On-site,10001,"1,10,177",200,Consumer Goods ,Mid-Senior level,Full-time,,Budgeting Commercial Finance Demand Planning Fast-Moving Consumer Goods (FMCG) Financial Metrics Forecasting Interpersonal Skills Key Accounts Sales & Marketing Shopper Marketing 
Senior Executive,EXL,Noida,On-site,10001,"27,505",73,Information Technology & Services ,Mid-Senior level,Full-time,,Account Reconciliation Coaching Cost Reduction Credit Control Management Information Systems (MIS) Market Research Quality Control Service-Level Agreements (SLA) Working with Brokers 
PD Collections-HMS031431,Genpact,Jaipur,On-site,10001,"1,30,023",6,Information Technology & Services ,Entry level,Full-time,,Cash Collection Communication Customer Requirements Customer Service Debt Collection Dispute Resolution Fax High Energy Level Inbound Marketing Negotiation 
Tagging Analyst,data.ai,Hyderabad,Remote,1000,566,200,Internet ,Entry level,Full-time,,Analytical Skills Communication Grit Mobile Applications Mobile Experiences 
Process Developer - Collections-INS016539,Genpact,Jaipur,On-site,10001,"1,30,023",114,Information Technology & Services ,Entry level,Full-time,,Accounts Receivable (AR) Collections Management Commerce Communication Customer Service Presentations 
Junior Research Analyst,S&P Global,Hyderabad,On-site,10001,"31,726",200,Financial Services ,Entry level,Full-time,"You will interact with a global team', 'You will be part of a newly established growing team', 'You will gain valuable insights on upcoming ESG trends', 'You will have lots of runway for advancement and personal development with best in class ESG methodology', 'Process data (Financial or Non-Financial, depending on the process selected for) and apply it in an accurate manner to the database using technical and financial knowledge', 'Collection, Standardization and validation of data from various documents.', 'Deliver on pre-defined individual and team targets including delivering outcomes with quality and completion.', 'Will work within parameters and with supervision to ensure quality and performance to set standards.', 'Coordinate with various stakeholders in understanding and building the content', 'Keep up-to-date in knowledge of content sets and build industry knowledge by understanding industry trends and reporting standards', 'Train the subsequent batches that would be a part of the ESG data set', 'Provides input and ideas for new collection methods and product improvements related to the covered content sets.', 'Troubleshoots problems or issues and provide support to the team.', 'Possess necessary skills to interpret documents like Articles, Bylaws and Prospectus of Companies, Sustainability reports, CSR Reports', 'Should be willing to work in rotational shifts. Ability to multi-task and work in a team environment, while following flexible schedule to meet deadlines.', 'Excellent communication skills (Written and Verbal) as it involves liaising with multiple stakeholders across regions', 'Convenient taking initiative and demonstrating resourcefulness', 'Strong attention to detail and persistent approach to work', 'Strong quantitative, analytical and interpretive skills', 'Existing knowledge and keen interest in learning more about existing and emerging sustainability topics', 'Very High proficiency in English language with excellent written and verbal communication skills, editorial skills, proof reading skills.', 'Proven multi-tasking capabilities and project management skills as the role requires working on multiple work streams.', 'Ability to view the content from an editorial lens and contribute to content enrichment from a language enhancement perspective.', 'Editorial mindset with a strong sense of judgement on the appropriateness of the output quality for the consumers of ESG Research', 'Agile mindset as it involves a lot of collaboration and coordination', 'Academic Qualifications - Bachelor’s/Master’s degree or equivalent; an advanced degree in a related field is welcome', 'Prior experience in the ESG data ratings and research is an added advantage', 'Proficiency in using MSOffice (Word, Excel, PowerPoint)'",Analytical Skills Communication Communication Training Databases Editing Editorial English High Proficiency Oral Communication Proofreading 
Data Analyst,Maruti Suzuki India Limited,New Delhi,Hybrid,10001,"24,360",200,Automotive ,Entry level,Full-time,"Build & Deploy Machine learning models to drive customer retention/satisfaction/Lifetime value', 'Work closely with business to identify issues and use data to propose solutions for effective decision making', 'Use analytical, statistical, and programming skills to collect large data sets and develop data-driven solutions', 'Interpret raw data and extract valuable meaning out of it then use this information to find patterns and develop solutions that organization needs to grow and compete', 'Create various Machine learning based tools or processes such as recommendation engine /lead scoring systems', 'Using machine learning tools to select features, create and optimize classifiers', 'Discover information in the huge database and help organization make smarter data drive decision to deliver better customer experience & products', 'Undertaking data collection, preprocessing, and analysis (EDA)', 'Build models to address business problems', 'Present information using data visualization techniques', 'Identify valuable data sources and automate collection processes', 'Collaborate with multiple marketing and product planning teams', 'Data preparation, make sense of data from multiple data sources, be compliant to data security norms', 'Understanding the business problem', 'Effective communication with Non-Technical stakeholders', 'Possess exceptional knowledge of the business domain along with expertise in technology, math and statistics', 'Look at big data with a view to solve a business problem', 'Ability to create and gain buy-in for novel ideas with the main motive to produce a working model that can help business make effective data driven decisions', 'Create stories from number crunching', 'Be the data storyteller to gain business confidence', 'Qualifications: Graduate/Post graduate with understanding of basic data science (Knowledge of SQL ,HIVE, Python, R or SAS - Any 2), knowledge of basic auto industry and sales and marketing operations', 'Work Experience 2- 5 Years'",Analytics Data Analytics Data Preparation Data Science Data Visualization 
PD Cash apps-HMS029909,Genpact,Jaipur,On-site,10001,"1,30,023",25,Information Technology & Services ,Entry level,Full-time,,Account Reconciliation Accounts Receivable (AR) Cash Application Cash Management Commerce Dispute Resolution Finance Interpersonal Skills Order to Cash Service-Level Agreements (SLA) 
